Date,Open,High,Low,Close,Volume
1962-01-02 00:00:00-05:00,0.045368467,0.04660367,0.045368467,0.045368467,806400
1962-01-03 00:00:00-05:00,0.044694721,0.044694721,0.04368393,0.044357672,1574400
1962-01-04 00:00:00-05:00,0.044470147,0.045031598,0.044470147,0.044694729,844800
1962-01-05 00:00:00-05:00,0.044694707,0.045256158,0.043571625,0.043683916,1420800
1962-01-08 00:00:00-05:00,0.043347034,0.043347034,0.042392474,0.043234743,2035200
1962-01-09 00:00:00-05:00,0.043234779,0.044245396,0.042897905,0.044020813,960000
1962-01-10 00:00:00-05:00,0.04402078,0.044863051,0.04357162,0.044245362,1612800
1962-01-11 00:00:00-05:00,0.044245389,0.044694729,0.044020807,0.044694729,614400
1962-01-12 00:00:00-05:00,0.044694721,0.044694721,0.043908512,0.044357672,883200
1962-01-15 00:00:00-05:00,0.044245368,0.044245368,0.043796208,0.043908499,614400
1962-01-16 00:00:00-05:00,0.043796244,0.043796244,0.043066266,0.043122496,1113600
1962-01-17 00:00:00-05:00,0.043122459,0.043122459,0.04177497,0.04177497,1574400
1962-01-18 00:00:00-05:00,0.04177498,0.04199956,0.04076419,0.040932711,2649600
1962-01-19 00:00:00-05:00,0.041325672,0.042224173,0.041325672,0.042224173,1459200
1962-01-22 00:00:00-05:00,0.042224158,0.042673323,0.041774995,0.042561032,1075200
1962-01-23 00:00:00-05:00,0.042448707,0.042448707,0.041662499,0.041662499,768000
1962-01-24 00:00:00-05:00,0.041662555,0.041775018,0.040427353,0.041213389,2611200
1962-01-25 00:00:00-05:00,0.041213352,0.041887269,0.040876478,0.040876478,1574400
1962-01-26 00:00:00-05:00,0.040876471,0.040876471,0.040202726,0.040427309,1574400
1962-01-29 00:00:00-05:00,0.040427309,0.0405396,0.040315017,0.040427309,307200
1962-01-30 00:00:00-05:00,0.040427317,0.04076419,0.040258795,0.040258795,1574400
1962-01-31 00:00:00-05:00,0.04042733,0.041887283,0.04042733,0.041887283,1766400
1962-02-01 00:00:00-05:00,0.042224173,0.042897918,0.042224173,0.042224173,1420800
1962-02-02 00:00:00-05:00,0.042224136,0.042673301,0.041550219,0.042673301,1152000
1962-02-05 00:00:00-05:00,0.042673301,0.042673301,0.042336427,0.042673301,384000
1962-02-06 00:00:00-05:00,0.0426733,0.0426733,0.042111844,0.042111844,691200
1962-02-07 00:00:00-05:00,0.042111829,0.042336412,0.042111829,0.042336412,192000
1962-02-08 00:00:00-05:00,0.042336442,0.042673316,0.041887277,0.042448733,768000
1962-02-09 00:00:00-05:00,0.042448718,0.042673301,0.042224136,0.042673301,729600
1962-02-12 00:00:00-05:00,0.042673285,0.042785574,0.042336412,0.042336412,307200
1962-02-13 00:00:00-05:00,0.042336412,0.042560994,0.042336412,0.042336412,652800
1962-02-14 00:00:00-05:00,0.042336431,0.042336431,0.041550223,0.041550223,652800
1962-02-15 00:00:00-05:00,0.041550226,0.04188727,0.041325644,0.041325644,652800
1962-02-16 00:00:00-05:00,0.041325644,0.042111852,0.041325644,0.041325644,1190400
1962-02-19 00:00:00-05:00,0.041662487,0.04199953,0.041662487,0.04199953,345600
1962-02-20 00:00:00-05:00,0.041999549,0.042111841,0.041662506,0.04177497,460800
1962-02-21 00:00:00-05:00,0.041774977,0.042111849,0.041550223,0.041550223,691200
1962-02-23 00:00:00-05:00,0.041550222,0.042111848,0.041101057,0.041101057,1036800
1962-02-26 00:00:00-05:00,0.04110105,0.042111841,0.040876468,0.04177497,768000
1962-02-27 00:00:00-05:00,0.04177495,0.042111821,0.04177495,0.04199953,460800
1962-02-28 00:00:00-05:00,0.041887307,0.041887307,0.041101098,0.041213389,652800
1962-03-01 00:00:00-05:00,0.041213374,0.041213374,0.040427338,0.040988792,19545600
1962-03-02 00:00:00-05:00,0.041101043,0.041437916,0.041101043,0.041437916,806400
1962-03-05 00:00:00-05:00,0.041437934,0.041437934,0.040876478,0.040876478,652800
1962-03-06 00:00:00-05:00,0.041325632,0.04177497,0.041325632,0.04177497,883200
1962-03-07 00:00:00-05:00,0.041775018,0.041775018,0.041213389,0.041213389,691200
1962-03-08 00:00:00-05:00,0.041213352,0.041662517,0.041101061,0.041325644,883200
1962-03-09 00:00:00-05:00,0.041325643,0.041494165,0.040539607,0.040876478,1113600
1962-03-12 00:00:00-05:00,0.041325632,0.04177497,0.041325632,0.04177497,998400
1962-03-13 00:00:00-05:00,0.042102742,0.042441804,0.042102742,0.042441804,1344000
1962-03-14 00:00:00-05:00,0.042441833,0.042611449,0.042272387,0.042498428,1689600
1962-03-15 00:00:00-05:00,0.042498382,0.042611402,0.042272341,0.042272341,883200
1962-03-16 00:00:00-05:00,0.042272341,0.042441786,0.042272341,0.042272341,768000
1962-03-19 00:00:00-05:00,0.042272387,0.04272447,0.042272387,0.042498428,921600
1962-03-20 00:00:00-05:00,0.042498421,0.042950504,0.042498421,0.042950504,1305600
1962-03-21 00:00:00-05:00,0.043176531,0.043741634,0.043176531,0.043515593,2188800
1962-03-22 00:00:00-05:00,0.043628584,0.044193687,0.043628584,0.043967646,1344000
1962-03-23 00:00:00-05:00,0.044306732,0.045098052,0.044306732,0.04475899,1497600
1962-03-26 00:00:00-05:00,0.044759004,0.045098066,0.044080709,0.04419373,1420800
1962-03-27 00:00:00-05:00,0.043967667,0.043967667,0.043628605,0.043854646,844800
1962-03-28 00:00:00-05:00,0.043854655,0.043854655,0.043515593,0.043515593,460800
1962-03-29 00:00:00-05:00,0.043515594,0.044080697,0.043402573,0.043628614,1036800
1962-03-30 00:00:00-05:00,0.043628625,0.043628625,0.042950504,0.042950504,1382400
1962-04-02 00:00:00-05:00,0.042950492,0.043741634,0.042724451,0.043515593,1152000
1962-04-03 00:00:00-05:00,0.04351564,0.043741681,0.04182016,0.042159393,1228800
1962-04-04 00:00:00-05:00,0.042498408,0.04328955,0.042498408,0.042667851,1459200
1962-04-05 00:00:00-05:00,0.042667855,0.043119937,0.042498412,0.042724453,1036800
1962-04-06 00:00:00-05:00,0.042950499,0.04362862,0.042950499,0.043402579,729600
1962-04-09 00:00:00-05:00,0.043515593,0.043854655,0.043515593,0.043515593,537600
1962-04-10 00:00:00-05:00,0.043515593,0.043854655,0.043515593,0.043515593,614400
1962-04-11 00:00:00-05:00,0.043515612,0.043741653,0.042328812,0.042498428,883200
1962-04-12 00:00:00-05:00,0.042272369,0.042272369,0.041594074,0.041707095,1075200
1962-04-13 00:00:00-05:00,0.041707105,0.042950504,0.041028984,0.042950504,1804800
1962-04-16 00:00:00-05:00,0.042950511,0.043628632,0.04283749,0.043063529,2227200
1962-04-17 00:00:00-05:00,0.04306352,0.043515602,0.04272446,0.043289561,1152000
1962-04-18 00:00:00-05:00,0.043289552,0.043515593,0.043176531,0.043515593,691200
1962-04-19 00:00:00-05:00,0.043515563,0.043572161,0.043289522,0.043572161,806400
1962-04-23 00:00:00-05:00,0.043572192,0.044080697,0.043459171,0.043628614,691200
1962-04-24 00:00:00-05:00,0.043628605,0.043854646,0.043289543,0.043854646,883200
1962-04-25 00:00:00-05:00,0.043741643,0.043741643,0.043289561,0.043289561,422400
1962-04-26 00:00:00-05:00,0.04328957,0.043515612,0.042724469,0.043063529,806400
1962-04-27 00:00:00-05:00,0.04306351,0.043515593,0.042837472,0.043515593,883200
1962-04-30 00:00:00-04:00,0.043063508,0.043063508,0.041594071,0.041820113,1382400
1962-05-01 00:00:00-04:00,0.041820114,0.042498409,0.041594073,0.042385388,1574400
1962-05-02 00:00:00-04:00,0.042611419,0.042950481,0.042611419,0.042893883,1305600
1962-05-03 00:00:00-04:00,0.0428939,0.043402579,0.042724457,0.043402579,844800
1962-05-04 00:00:00-04:00,0.043402591,0.04357221,0.043063529,0.043063529,537600
1962-05-07 00:00:00-04:00,0.043063523,0.043402585,0.042611443,0.042611443,691200
1962-05-08 00:00:00-04:00,0.042611421,0.043176522,0.042102743,0.042102743,1190400
1962-05-09 00:00:00-04:00,0.042046334,0.042046334,0.041255016,0.041255016,1267200
1962-05-10 00:00:00-04:00,0.041255007,0.041368027,0.040689906,0.040915947,1920000
1962-05-11 00:00:00-04:00,0.040915929,0.041254988,0.039220452,0.039559685,2380800
1962-05-14 00:00:00-04:00,0.039559723,0.039785765,0.037864245,0.038881429,3187200
1962-05-15 00:00:00-04:00,0.039107452,0.041255009,0.039107452,0.04080293,2534400
1962-05-16 00:00:00-04:00,0.040802927,0.041141986,0.040689906,0.040915947,1612800
1962-05-17 00:00:00-04:00,0.040915959,0.041198596,0.040463876,0.040463876,2496000
1962-05-18 00:00:00-04:00,0.040463866,0.040576886,0.039898765,0.040576886,806400
1962-05-21 00:00:00-04:00,0.040576906,0.040689927,0.040350865,0.04052031,960000
1962-05-22 00:00:00-04:00,0.040520305,0.040520305,0.039220485,0.039333679,1420800
1962-05-23 00:00:00-04:00,0.039277086,0.039277086,0.038655387,0.038881429,2342400
1962-05-24 00:00:00-04:00,0.038655386,0.038655386,0.038090285,0.038090285,2688000
1962-05-25 00:00:00-04:00,0.038090255,0.038429314,0.037299113,0.037638173,2841600
1962-05-28 00:00:00-04:00,0.037581586,0.037581586,0.0342474,0.035660241,4377600
1962-05-29 00:00:00-04:00,0.03566027,0.036507837,0.031647787,0.036507837,7411200
1962-05-31 00:00:00-04:00,0.037186132,0.038203316,0.037186132,0.037977275,4761600
1962-06-01 00:00:00-04:00,0.037977268,0.03831633,0.037073105,0.037525188,2688000
1962-06-04 00:00:00-04:00,0.037299136,0.037299136,0.034586474,0.034586474,3456000
1962-06-05 00:00:00-04:00,0.034699496,0.037299137,0.034699496,0.035942718,2688000
1962-06-06 00:00:00-04:00,0.036055735,0.03673403,0.036055735,0.036394797,1344000
1962-06-07 00:00:00-04:00,0.036394817,0.036621032,0.036281796,0.036507837,691200
1962-06-08 00:00:00-04:00,0.0365078,0.037299115,0.0365078,0.037299115,1420800
1962-06-11 00:00:00-04:00,0.03757247,0.037800168,0.037230923,0.037344772,2304000
1962-06-12 00:00:00-04:00,0.037344795,0.037401631,0.035636892,0.035807751,2227200
1962-06-13 00:00:00-04:00,0.035807723,0.036206105,0.035181468,0.035352156,2726400
1962-06-14 00:00:00-04:00,0.03535216,0.035523019,0.034839928,0.034839928,2419200
1962-06-15 00:00:00-04:00,0.034839962,0.036319993,0.0346691,0.036319993,3878400
1962-06-18 00:00:00-04:00,0.036319933,0.036376946,0.035750692,0.036149248,2188800
1962-06-19 00:00:00-04:00,0.035978431,0.035978431,0.035636887,0.035636887,691200
1962-06-20 00:00:00-04:00,0.035636872,0.035978416,0.035124466,0.035124466,2457600
1962-06-21 00:00:00-04:00,0.035124463,0.035181474,0.034612232,0.034669068,1651200
1962-06-22 00:00:00-04:00,0.034669088,0.034669088,0.034156859,0.034156859,1536000
1962-06-25 00:00:00-04:00,0.034156852,0.034213688,0.032847503,0.033815131,5721600
1962-06-26 00:00:00-04:00,0.033815123,0.034270691,0.033473577,0.033701275,2227200
1962-06-27 00:00:00-04:00,0.033701267,0.033815116,0.033416734,0.033587418,2496000
1962-06-28 00:00:00-04:00,0.034042819,0.035181478,0.034042819,0.035181478,2918400
1962-06-29 00:00:00-04:00,0.035181472,0.03540917,0.034726079,0.034839928,2150400
1962-07-02 00:00:00-04:00,0.034839925,0.035921573,0.034726076,0.035750713,1459200
1962-07-03 00:00:00-04:00,0.035750715,0.03597841,0.035409169,0.03597841,1612800
1962-07-05 00:00:00-04:00,0.035978387,0.036206084,0.035522994,0.036149248,1228800
1962-07-06 00:00:00-04:00,0.036149293,0.036149293,0.035523038,0.035636887,844800
1962-07-09 00:00:00-04:00,0.0358646,0.036319993,0.0358646,0.036319993,1689600
1962-07-10 00:00:00-04:00,0.03643382,0.03688939,0.03643382,0.03643382,2304000
1962-07-11 00:00:00-04:00,0.036433812,0.036661509,0.035807731,0.036661509,1843200
1962-07-12 00:00:00-04:00,0.036661515,0.037344781,0.03620612,0.037003234,1728000
1962-07-13 00:00:00-04:00,0.03688939,0.03688939,0.03643382,0.036832377,921600
1962-07-16 00:00:00-04:00,0.036832372,0.037117081,0.036718523,0.036889385,806400
1962-07-17 00:00:00-04:00,0.036889382,0.037117077,0.036661509,0.036661509,345600
1962-07-18 00:00:00-04:00,0.036433811,0.036433811,0.036149278,0.036376975,1612800
1962-07-19 00:00:00-04:00,0.036376985,0.036775367,0.036206123,0.036718529,921600
1962-07-20 00:00:00-04:00,0.036718528,0.037117085,0.036718528,0.036946226,1036800
1962-07-23 00:00:00-04:00,0.037003237,0.037230935,0.037003237,0.037117086,729600
1962-07-24 00:00:00-04:00,0.037117077,0.037287764,0.036661509,0.036661509,691200
1962-07-25 00:00:00-04:00,0.036661507,0.037344772,0.036661507,0.037344772,652800
1962-07-26 00:00:00-04:00,0.037572455,0.037800152,0.037572455,0.037572455,499200
1962-07-27 00:00:00-04:00,0.037572485,0.037857018,0.037458636,0.037857018,460800
1962-07-30 00:00:00-04:00,0.037857037,0.038255595,0.037572503,0.038255595,998400
1962-07-31 00:00:00-04:00,0.03848327,0.039052512,0.03848327,0.039052512,1881600
1962-08-01 00:00:00-04:00,0.039052508,0.039052508,0.03802787,0.038369417,1305600
1962-08-02 00:00:00-04:00,0.038369407,0.039166346,0.03802786,0.039166346,1612800
1962-08-03 00:00:00-04:00,0.039166335,0.039394032,0.037515443,0.039394032,537600
1962-08-06 00:00:00-04:00,0.039394068,0.039451078,0.038483279,0.038710974,921600
1962-08-07 00:00:00-04:00,0.038710988,0.038710988,0.038255595,0.038255595,576000
1962-08-08 00:00:00-04:00,0.03814175,0.03814175,0.037914052,0.03814175,652800
1962-08-09 00:00:00-04:00,0.038141707,0.038141707,0.037686314,0.037686314,652800
